chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultXYDataset.java,148,213,1.4391892,28,0.051399615
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,OHLCDataset.java,13,136,10.461538,5,2.0923076
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYDataset.java,11,97,8.818182,3,2.939394
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYSeries.java,425,467,1.0988235,96,0.011446078
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XIntervalDataItem.java,34,70,2.0588236,8,0.25735295
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,OHLCDataItem.java,77,105,1.3636364,17,0.080213904
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultWindDataset.java,186,208,1.1182796,40,0.027956989
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYDataItem.java,93,130,1.3978494,20,0.06989247
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XIntervalSeriesCollection.java,140,220,1.5714285,23,0.06832298
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,CategoryTableXYDataset.java,143,241,1.6853147,32,0.052666083
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYBarDataset.java,125,230,1.84,27,0.06814815
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYDomainInfo.java,6,49,8.166667,1,8.166667
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYRangeInfo.java,6,50,8.333333,1,8.333333
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,IntervalXYDataset.java,11,126,11.454545,4,2.8636363
